review,label
A huge collection of music,positive
Downloaded music still can't be played offline as a premium user gg spotify u noobs,negative
"This app is the best music app I have ever seen but there are some covers which are not here like ""Sure thing"" by BLACKPINK and ""Clarity"" by Jisoo...Pls update those in the app...other then this everything is awesome â¤ï¸â¤ï¸â¤ï¸",positive
"Works great just with the car's Bluetooth, but not with car's radio app. From what I understand, Spotify has a ""car thing"" that they're pushing, so they've disabled the app from interfacing with most head units - both stock & aftermarket. The last thing I need is another device stuck to my dashboard. Pandora still works with the receiver's app...",negative
Best music app so far,positive
It was nice before you uploaded the old mood was good I prefer to back old one .,positive
Amazing! Works great.,positive
Only for paid users Dont waste your time in installation,positive
I love Spotify there are no ads if you subscribe which is worth every penny and there are hundreds of thousands of songs and podcasts to listen to and if you have children who like music there is a restricted setting. So 5 stars â­ï¸â­ï¸â­ï¸â­ï¸â­ï¸ and 5 hearts â¤â¤â¤â¤â¤ for you Spotify.,positive
Personal playlists tend to play same songs over and over even when on shuffle.. despite the fact there are 1000s of songs in my personal playlists....,negative
Spotify is amazing it helps me fall asleep and wake up,positive
"Was having alot of issues, after deleting and reinstalling, it got alot better!!! Best app I have used(wasn't a fan of iheart radio and pandora)",negative
This app is brilliant every single song is here,positive
"Great app, using for podcasts mostly for now, nice and easy to navigate.",positive
It's really nice to use the app. Best app for song n music addictors BUT one huge negative in this app is ad experience it's totally made me cruel to hear the ad while hearing songs....à² ï¸µà² ,negative
very good ,positive
Good service with a great supply of music and podcasts. I'd like to see more asian music included in the supply. I've had one very annoying problem with playing downloaded content. Sometimes while I'm working in areas with limited data coverage I like to download music and podcasts in advance to be able to listen to them while offline. Too often I am unable to open the playlists with downloaded content which is a source of great irritation. I'd also like to see an option to disable video players,negative
Nice Music app op !ðŸ˜ƒðŸ˜ƒðŸ˜ƒ,positive
"Recently the app has been randomly losing the player. Can't close the app, can't stop what's playing. Argh! Been using the app for years and have loved it. This needs to be fixed - please! Update July 5, 2022 Seemed to have returned to normal until today - same issue. Am un-installing and re-installing.",positive
"I love this app, all my music in one place. I can make Playlist of my favorites and listen any time.",positive
Good,positive
It's cool but alot of times when trying to find some songs I can't find it,negative
Third class app I can't even login...its always failed to login,negative
Love the app Like my choices to listening to my favorites,positive
The app is decent even on a console but it is getting harder to listen to music with the ads. the bad thing is that you cannot control the shuffle on phones,negative
"Okay love the app and curated playlists, but you got to improve your cache clearance methods, having 1gb of cache behind for songs i may not play again is hige waste of space, and the amount of battery the app burns for running in background is really bad",negative
good app and good music,positive
Simply awesome. Quality of music is good. Best part is it's algorithm. Which u want to listen it just offers that in time. One thing to Spotify developers - pls enhance the music quality better than now. We want more quality. As of HD quality.,positive
Superb,positive
I LOVE IT GUYS!!! Every day listening!!!!only I think disadvantage is that not possible single song dowoad but full set it tracks.. At least I haven't found this option ;),negative
A big tease. I don't recommend. Way too frustrating to listen to a specific song after 'liking' it.,negative
1 advertisement after 2 song...just waste of time...never installing it again,negative
Spotify is really very good aap for music I love this aap,positive
"Come on, its spotify, its the best music app out there",positive
Great app for music.I thought that this was only for music but then I relised that it had stories too. The great thing about spotify is that it uses only a pinch of net.I will try my best to take premium membershipðŸ˜‚ Thanks SpotifyðŸ˜ŠðŸ˜Š,negative
One of my Favorite apps of all time. Been using them for about 9 years now and they keep getting better !! I'm up to 30 hours of Amazing Tunes on my Markus Aurelius PL 1. Check it out and subscribe. You're gonna Love it I'm sure ðŸ˜€ðŸŽ¸ðŸŽ¶ðŸŽµðŸŽ¶ðŸŽµðŸŽ¶âœŒï¸,positive
"Cant choose what song to play, if i create a playlist it adds songs for me, and overall i have no control over my music now, at this point im considering soundcloud or Pandora........",negative
A very awesome app and the ads given are ok after one add we get 30 minutes of uninterrupted listening,positive
It's stupid that there is ads after every single song and the ads go for around 3-5 mins I don't understand it and I've bought premium and it did adds still,negative
"Stops playing every ten minutes +/- I love to listen to my podcasts while driving is during my train commute, but the recent update constantly interrupts playback, so I'll uninstall for now. It's a brilliant app otherwise.",positive
Good enough,positive
"This is the best music app because it has everything i want nice music, great playlist and much more so i will definitely recommend downloading Spotify ðŸ˜ðŸ˜ðŸ˜ðŸ˜ŠðŸ˜ŠðŸ˜„",positive
Very problematic for mobile phone users. I hope they will make it as smooth as pc used app.,negative
This music app is amazing... Like it has the lyrics for every song and the lyrics are even time synced... Love this appðŸ’–ðŸ’–ðŸ’–,positive
"So long as you keep Joe Rogan's podcast active and uncensored, I will be sticking around and supporting Spotify. Joe's podcast is really the only reason why I came to Spotify to begin with, given that before, I woud listen to his discussions on YouTube but then they decided to start chopping his conversations, taking things out of context, and of course, removing certain discussions based on no other merit than they simply didn't like the content. That's why I am here. Stay strong Spotify Team!",negative
"When it works its awesome. But sometimes it will just randomly stop playing a podcast. Also it will occasionally just refuse to play podcasts all together. I uninstalled and reinstalled and it didnt help. I signed out and back in, and it didnt help. The only fix i found was pressing play on a podcast and even though it isnt playing, to just let it continue to try i guess. Then after a few minutes the podcast would start to play. Ive used this method twice now. It worked both times.",negative
"Overall, I like the app, but I really wish they divided the artists' cut of our subscription among those we actually listen to instead of giving all my money to the most popular artists on Spotify (most of whom haven't gotten a single stream from me). What I want (and what small-medium artists want) is called a user-centric model, and what Spotify currently uses is called a pro-rata model. AFAIK all competitors do this too; it's a problem with streaming in general. But be better, Spotify!",negative
This app is amazing! The only problem is that it's SUPER glitchy if it's not immediately updated. Otherwise it's great,positive
"I changed my review because now my playlist has folders type thing and there is adds and i cant listen to the same song twice without stopping what I'm doing and putting it back on that song and I cant pay for premium and all I want to do is jam out well doing stuff and not be interrupted by an add and be able to play the same song twice:( (edit) I also want to be able to skip songs as much as I want or at least more then six times, I would be fine with 15 skips.",negative
"great selection of songs, easy to use, reasonable price, great interactions with users - I don't even use it as much as I should and I love it!",positive
